Timestamp,Last Name,First Name,Email Address,Phone Number (XXX-XXX-XXXX),TEAM (or UNAT),USAS Member Number,Certification [S&T],Certification [CJ],Certification [SR],Certification [AR],Certification [DR],1st Choice,2nd Choice,3rd Choice,Thurs Finals,Fri Prelims,Fri (10U/11-12 Sessions),Fri Finals,Sat Prelims,Sat (10U/11-12 Sessions),Sat Finals,Sun Prelims,Sun (10U/11-12 Sessions),Sun Finals,Notes,Men's Cut,Women's Cut
2/1/2026 10:14:00,Nwachukwu,Marta,mnwachukwu@email.com,919-555-5010,Raleigh Swimming,EFD7675A5010,N3,,N2,,N2,Starter,Admin Official,Deck Referee,Y,Y,N,Y,Y,N,Y,Y,N,Y,,N/A,XL
2/1/2026 10:19:00,Brennan,Richard,rbrennan@email.com,336-555-5011,Durham Dolphins,EFD7675A5011,Apprentice,,,,,,,,Y,Y,Y,N,Y,N,Y,Y,N,Y,Limited availability,S,N/A
2/1/2026 10:27:00,Nguyen,William,wnguyen@email.com,919-555-5012,Eastern Waves,EFD7675A5012,Apprentice,,,,,,,,N,N,Y,N,N,Y,N,N,Y,Y,,S,N/A
2/1/2026 10:31:00,Nakamura,Robert,rnakamura@email.com,704-555-5013,YMCA Greensboro,EFD7675A5013,LSC,,,LSC,,Admin Referee,Admin Official,,N,N,Y,N,Y,Y,N,N,Y,Y,Afternoon sessions only,XL,N/A
2/1/2026 10:39:00,Morales,Maria,mmorales@email.com,336-555-5014,Tidal Wave,EFD7675A5014,N3,N2,,N2,,,,,N,Y,Y,N,N,Y,N,Y,Y,N,Afternoons preferred,N/A,S
2/1/2026 10:47:00,Bergstrom,Aaron,abergstrom@email.com,252-555-5015,Waves,EFD7675A5015,LSC,N2,N2,,LSC,Admin Official,Chief Judge,Starter,Y,N,Y,Y,N,N,Y,Y,Y,Y,,M,N/A
2/1/2026 10:53:00,Wakefield,Elena,ewakefield@email.com,252-555-5016,Marlins,EFD7675A5016,N2,N3,,,N2,Deck Referee,Chief Judge,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N/A,L
2/1/2026 11:00:00,Blackwood,Brian,bblackwood@email.com,704-555-5017,Cape Fear,EFD7675A5017,N2,,,,,,,,Y,Y,N,N,Y,N,Y,Y,N,Y,,L,N/A
2/1/2026 11:10:00,Winters,Alice,awinters@email.com,252-555-5018,Durham Dolphins,EFD7675A5018,LSC,N2,LSC,,,Starter,Admin Official,Chief Judge,N,N,Y,N,N,Y,N,N,Y,N,Afternoons preferred,N/A,XL
2/1/2026 11:15:00,Drummond,Michael,mdrummond@email.com,919-555-5019,Marlins,EFD7675A5019,LSC,N2,N2,,N2,Chief Judge,Deck Referee,Starter,N,N,N,N,N,N,Y,N,N,Y,,S,N/A
2/1/2026 11:20:00,Kessler,Frank,fkessler@email.com,910-555-5020,TAC Titans,EFD7675A5020,Apprentice,,LSC,,,Starter,Admin Official,,N,N,N,N,Y,Y,N,Y,N,N,Limited availability,2XL,N/A
2/1/2026 11:29:00,Cranston,Keiko,kcranston@email.com,336-555-5021,Triangle Aquatics,EFD7675A5021,N3,,,LSC,N2,,,,N,Y,Y,N,Y,N,N,N,N,N,,N/A,M
2/1/2026 11:35:00,Larsson,Joseph,jlarsson@email.com,704-555-5022,TAC Titans,EFD7675A5022,N2,N2,,LSC,LSC,Chief Judge,Admin Referee,,N,N,Y,N,N,Y,N,N,Y,N,,XL,N/A
2/1/2026 11:41:00,Blevins,Charles,cblevins@email.com,252-555-5023,Waves,EFD7675A5023,LSC,N2,LSC,N2,,Chief Judge,Admin Referee,,Y,Y,N,Y,Y,N,N,N,N,Y,,S,N/A
2/1/2026 11:48:00,Chakraborty,Colleen,cchakraborty@email.com,910-555-5024,Triangle Aquatics,EFD7675A5024,LSC,,,,,,,,N,N,N,N,N,N,N,N,Y,Y,,N/A,XS
2/1/2026 11:56:00,Ostrowski,Emeka,eostrowski@email.com,252-555-5025,Durham Dolphins,EFD7675A5025,N2,,,,,,,,N,Y,N,Y,Y,N,Y,Y,N,Y,,L,N/A
2/1/2026 12:05:00,Hutchins,Dorothy,dhutchins@email.com,704-555-5026,Raleigh Swimming,EFD7675A5026,N3,,N2,,,,,,Y,Y,N,Y,Y,N,Y,Y,N,Y,Thursday and Friday only,N/A,XS
2/1/2026 12:11:00,Petersen,Linda,lpetersen@email.com,252-555-5027,SwimMAC,EFD7675A5027,Apprentice,,,,,,,,Y,N,N,Y,Y,N,Y,Y,N,Y,,N/A,XS
2/1/2026 12:20:00,Reinholt,Ingrid,ireinholt@email.com,252-555-5028,Triangle Aquatics,EFD7675A5028,N2,N2,N2,LSC,N2,Admin Referee,,,N,Y,N,Y,Y,N,Y,Y,N,Y,Friday and Saturday only,N/A,L
2/1/2026 12:27:00,Papadopoulos,Anita,apapadopoulos@email.com,910-555-5029,Greensboro Aquatic,EFD7675A5029,LSC,,LSC,,N2,Deck Referee,Starter,,N,N,Y,N,N,Y,N,N,Y,N,Afternoon sessions only,N/A,M
2/1/2026 12:32:00,Fitzpatrick,Taro,tfitzpatrick@email.com,704-555-5030,Charlotte Swim,EFD7675A5030,LSC,,,N2,,,,,Y,Y,N,Y,Y,N,Y,Y,N,Y,,S,N/A
2/1/2026 12:39:00,Thornton,Donald,dthornton@email.com,910-555-5031,Raleigh Swimming,EFD7675A5031,Apprentice,,,,,,,,Y,N,Y,N,N,Y,N,N,Y,N,,S,N/A
2/1/2026 12:47:00,Petrova,Natasha,npetrova@email.com,910-555-5032,Tidal Wave,EFD7675A5032,N2,N2,LSC,,,Admin Official,Starter,Chief Judge,N,N,Y,N,N,Y,N,N,Y,N,,N/A,M
2/1/2026 12:52:00,Patel,Yuki,ypatel@email.com,919-555-5033,Greensboro Aquatic,EFD7675A5033,N2,,,N2,N2,Admin Official,Admin Referee,Deck Referee,N,N,Y,N,N,Y,N,N,Y,Y,,N/A,L
2/1/2026 12:58:00,Castellano,Peter,pcastellano@email.com,919-555-5034,Cape Fear,EFD7675A5034,LSC,N2,,,N2,Chief Judge,,,Y,Y,N,N,Y,N,Y,N,N,Y,Available all prelims/finals,M,N/A
2/1/2026 13:06:00,Adekunle,George,gadekunle@email.com,252-555-5035,Tidal Wave,EFD7675A5035,LSC,,N2,LSC,,,,,N,N,Y,Y,Y,Y,Y,Y,N,N,Weekends only,XL,N/A
2/1/2026 13:12:00,Abramowitz,Sandra,sabramowitz@email.com,252-555-5036,Greensboro Aquatic,EFD7675A5036,LSC,,N2,,N2,Admin Official,Starter,,N,N,Y,N,N,Y,N,N,Y,Y,,N/A,S
2/1/2026 13:19:00,Rivera,Steven,srivera@email.com,919-555-5037,Charlotte Swim,EFD7675A5037,N2,LSC,,,,,,,Y,Y,N,Y,N,N,Y,Y,N,Y,,M,N/A
2/1/2026 13:26:00,Kowalczyk,Barbara,bkowalczyk@email.com,704-555-5038,Waves,EFD7675A5038,LSC,,,,,,,,N,Y,N,N,N,Y,N,Y,Y,Y,Limited availability,N/A,XL
2/1/2026 13:37:00,Schreiber,Fatima,fschreiber@email.com,336-555-5039,Waves,EFD7675A5039,N2,LSC,,LSC,,Admin Referee,Chief Judge,,Y,Y,N,Y,Y,N,Y,Y,N,Y,,N/A,XL
2/1/2026 13:43:00,Pemberton,Joel,jpemberton@email.com,704-555-5040,Eastern Waves,EFD7675A5040,N2,N2,,LSC,,,,,N,N,Y,N,N,Y,N,N,Y,N,,XL,N/A
2/1/2026 13:48:00,Diaz,Thomas,tdiaz@email.com,704-555-5041,Tidal Wave,EFD7675A5041,N3,N3,N2,LSC,,Admin Referee,Chief Judge,Starter,Y,N,N,N,N,N,Y,N,N,Y,,M,N/A
2/1/2026 13:57:00,Hendricks,Helen,hhendricks@email.com,252-555-5042,Marlins,EFD7675A5042,N2,N2,N2,LSC,,Chief Judge,Admin Official,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N/A,L
2/1/2026 14:04:00,Johansson,Patricia,pjohansson@email.com,704-555-5043,Durham Dolphins,EFD7675A5043,Apprentice,,,,,,,,N,Y,Y,N,N,Y,N,N,Y,N,Afternoons preferred,N/A,M
2/1/2026 14:08:00,Guerrero,Kwame,kguerrero@email.com,910-555-5044,Greensboro Aquatic,EFD7675A5044,N2,,,LSC,N2,,,,Y,N,Y,Y,N,Y,N,Y,N,N,,L,N/A
2/1/2026 14:18:00,Washington,James,jwashington@email.com,919-555-5045,Raleigh Swimming,EFD7675A5045,N2,N2,,,,,,,Y,N,N,Y,Y,N,N,Y,N,Y,,S,N/A
2/1/2026 14:25:00,Sundaram,Betty,bsundaram@email.com,336-555-5046,Davidson Aquatics,EFD7675A5046,LSC,LSC,,N2,N2,Chief Judge,Admin Referee,,N,N,Y,N,N,Y,N,N,Y,N,,N/A,M
2/1/2026 14:29:00,Fujimoto,Karen,kfujimoto@email.com,910-555-5047,Triangle Aquatics,EFD7675A5047,Apprentice,,,,,,,,N,Y,N,Y,Y,N,Y,Y,N,Y,,N/A,S
2/1/2026 14:39:00,Adeyemi,Diane,dadeyemi@email.com,919-555-5048,TAC Titans,EFD7675A5048,LSC,,LSC,,N2,Deck Referee,Starter,,N,Y,N,Y,Y,N,N,Y,N,Y,,N/A,L
2/1/2026 14:43:00,Mitchell,Sarah,smitchell@email.com,336-555-5049,Durham Dolphins,EFD7675A5049,N2,,,N2,N2,,,,N,N,N,Y,Y,N,Y,N,N,N,,N/A,XL
2/1/2026 14:51:00,Kowalski,Jennifer,jkowalski@email.com,704-555-5050,Greensboro Aquatic,EFD7675A5050,LSC,,LSC,,N2,Deck Referee,Starter,,Y,Y,Y,Y,N,Y,Y,N,N,N,,N/A,L
2/1/2026 14:58:00,Murakami,Henrik,hmurakami@email.com,252-555-5051,YMCA Greensboro,EFD7675A5051,LSC,,N2,,,Starter,Admin Official,,N,Y,N,N,N,N,N,Y,N,N,Limited availability,L,N/A
2/1/2026 15:06:00,Whitmore,Susan,swhitmore@email.com,910-555-5052,SwimMAC,EFD7675A5052,LSC,N2,,LSC,,Admin Referee,Chief Judge,,N,N,Y,N,N,Y,N,N,Y,Y,,N/A,M
2/1/2026 15:11:00,Espinoza,Eva,eespinoza@email.com,910-555-5053,Greensboro Aquatic,EFD7675A5053,N2,,,,,,,,Y,Y,N,Y,Y,N,Y,Y,N,Y,,N/A,L
2/1/2026 15:22:00,Nakashima,Kevin,knakashima@email.com,910-555-5054,Durham Dolphins,EFD7675A5054,N2,,N2,N2,,,,,N,N,Y,N,N,Y,N,N,Y,N,,S,N/A
2/1/2026 15:29:00,Vasquez,Omar,ovasquez@email.com,919-555-5055,TAC Titans,EFD7675A5055,LSC,,N2,,,Starter,,,N,Y,Y,N,N,Y,N,N,Y,N,,XL,N/A
2/1/2026 15:33:00,Hoffman,Theresa,thoffman@email.com,919-555-5056,Waves,EFD7675A5056,LSC,LSC,N2,,,Starter,Chief Judge,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N/A,M
2/1/2026 15:42:00,Okafor,David,dokafor@email.com,704-555-5057,Davidson Aquatics,EFD7675A5057,N2,,,,,,,,N,N,Y,N,N,Y,N,N,Y,N,,2XL,N/A
2/1/2026 15:49:00,Ferreira,Priya,pferreira@email.com,910-555-5058,Greensboro Aquatic,EFD7675A5058,N2,LSC,,LSC,,,,,N,N,Y,Y,N,Y,N,N,Y,N,Afternoon sessions only,N/A,M
2/1/2026 15:56:00,O'Brien,Derek,dobrien@email.com,919-555-5059,SwimMAC,EFD7675A5059,N3,N2,N2,N2,N2,Chief Judge,Deck Referee,,N,N,Y,N,N,Y,N,N,Y,Y,,XL,N/A
