Timestamp,Email Address,Last Name,First Name (Preferred),USA ID,Preferred Phone Number,With which LSC are you registered?,Are you able to serve all sessions at this meet?,First Choice of Futures Meets,Second Choice of Futures Meets,First Choice of Meets,Second Choice of Meets,"If applications outnumber available positions, and you wish to remain on a waitlist for possible later openings for stroke and turn indicate which site. One site only.",1st Choice,2nd Choice,Futures,"Juniors, TYR PSS, National (US OPEN, Trials class)",Men's (Unisex),Women's,Roommate Request,"To the best of my knowledge, the information listed above is true and accurate."
2/1/2026 18:05:00,fpersson@email.com,Persson,Fatima,EFD7675AAF43,608-555-5167,OR,Yes,"Austin, TX","Madison, WI",None,None,"Austin, TX",,,4 or more,1-3,,M,No,Yes
2/1/2026 18:12:00,tguerrero@email.com,Guerrero,Theresa,EFD7675AAF44,615-555-5168,MA,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Greensboro, NC",,,1-3,Served this year,,S,Yes,Yes
2/1/2026 18:22:00,asundaram@email.com,Sundaram,Amara,EFD7675AAF45,252-555-5169,KS,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Knoxville, TN",,,4 or more,4 or more,,M,No,Yes
2/1/2026 18:33:00,enwachukwu@email.com,Nwachukwu,Emeka,EFD7675AAF46,336-555-5170,VA,Yes,"Greensboro, NC","Austin, TX",Futures,None,"Austin, TX",,,Served this year,4 or more,2XL,,No,Yes
2/1/2026 18:43:00,sjonsson@email.com,Jonsson,Sheila,EFD7675AAF47,919-555-5171,KY,Other,"Greensboro, NC","Knoxville, TN",Futures,None,"Knoxville, TN",,,Never served,Never served,,L,No,Yes
2/1/2026 18:53:00,rbrennan@email.com,Brennan,Rosa,EFD7675AAF48,704-555-5172,CO,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Knoxville, TN",,,Never served,1-3,,S,Yes,Yes
2/1/2026 18:58:00,bvasquez@email.com,Vasquez,Bryan,EFD7675AAF49,512-555-5173,GA,Yes,"Sacramento, CA","Knoxville, TN",Futures,None,"Sacramento, CA",,,Never served,Never served,XL,,No,Yes
2/1/2026 19:09:00,anakamura@email.com,Nakamura,Anika,EFD7675AAF4A,865-555-5174,SE,Yes,"Sacramento, CA","Greensboro, NC",Futures,None,"Greensboro, NC",,,1-3,1-3,,XS,Yes,Yes
2/1/2026 19:18:00,bbautista@email.com,Bautista,Brigitte,EFD7675AAF4B,704-555-5175,WA,Yes,"Madison, WI","Knoxville, TN",None,None,"Knoxville, TN",,,4 or more,Never served,,S,Yes,Yes
2/1/2026 19:24:00,skarlsson@email.com,Karlsson,Sven,EFD7675AAF4C,919-555-5176,IN,Yes,"Sacramento, CA","Knoxville, TN",Futures,None,"Sacramento, CA",,,4 or more,1-3,XL,,No,Yes
2/1/2026 19:35:00,bcallahan@email.com,Callahan,Bjorn,EFD7675AAF4D,919-555-5177,IA,Yes,"Madison, WI","Austin, TX",None,None,"Madison, WI",,,1-3,1-3,M,,No,Yes
2/1/2026 19:44:00,hlarsson@email.com,Larsson,Hana,EFD7675AAF4E,608-555-5178,CT,Yes,"Knoxville, TN","Sacramento, CA",Futures,None,"Knoxville, TN",,,1-3,4 or more,,M,No,Yes
2/1/2026 19:51:00,gtrexler@email.com,Trexler,Gunnar,EFD7675AAF4F,512-555-5179,AZ,Yes,"Knoxville, TN","Greensboro, NC",None,None,"Greensboro, NC",,,Never served,1-3,L,,No,Yes
2/1/2026 20:02:00,rkessler@email.com,Kessler,Rolf,EFD7675AAF50,910-555-5180,CO,Yes,"Knoxville, TN","Sacramento, CA",Futures,None,"Sacramento, CA",,,Served this year,Never served,L,,No,Yes
2/1/2026 20:13:00,sberger@email.com,Berger,Sarah,EFD7675AAF51,916-555-5181,GA,Other,"Sacramento, CA","Austin, TX",Futures,None,"Sacramento, CA",,,4 or more,Never served,,M,Yes,Yes
2/1/2026 20:23:00,jsullivan@email.com,Sullivan,Jennifer,EFD7675AAF52,919-555-5182,MN,Other,"Knoxville, TN","Madison, WI",Futures,None,"Madison, WI",,,1-3,4 or more,,XS,No,Yes
2/1/2026 20:32:00,preyes@email.com,Reyes,Patricia,EFD7675AAF53,865-555-5183,MO,Yes,"Greensboro, NC","Madison, WI",Futures,None,"Madison, WI",,,Never served,Never served,,S,No,Yes
2/1/2026 20:40:00,landersson@email.com,Andersson,Linda,EFD7675AAF54,336-555-5184,TN,Yes,"Madison, WI","Knoxville, TN",Futures,None,"Knoxville, TN",,,Served this year,1-3,,L,Yes,Yes
2/1/2026 20:47:00,radekunle@email.com,Adekunle,Robert,EFD7675AAF55,910-555-5185,FL,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Knoxville, TN",,,Never served,Never served,L,,No,Yes
2/1/2026 20:59:00,shansson@email.com,Hansson,Susan,EFD7675AAF56,252-555-5186,SE,Other,"Greensboro, NC","Knoxville, TN",Futures,None,"Greensboro, NC",,,1-3,Never served,,M,No,Yes
2/1/2026 21:03:00,ktran@email.com,Tran,Karen,EFD7675AAF57,916-555-5187,AZ,Yes,"Madison, WI","Sacramento, CA",Futures,None,"Sacramento, CA",,,4 or more,Never served,,M,Yes,Yes
2/1/2026 21:14:00,wadesanya@email.com,Adesanya,William,EFD7675AAF58,916-555-5188,TX,Yes,"Austin, TX","Knoxville, TN",Futures,None,"Knoxville, TN",,,4 or more,1-3,L,,Yes,Yes
2/1/2026 21:26:00,rmurakami@email.com,Murakami,Richard,EFD7675AAF59,608-555-5189,MO,Yes,"Knoxville, TN","Madison, WI",None,None,"Knoxville, TN",,,Served this year,Never served,L,,Yes,Yes
2/1/2026 21:30:00,gnguyen@email.com,Nguyen,George,EFD7675AAF5A,608-555-5190,GA,Yes,"Greensboro, NC","Madison, WI",None,None,"Madison, WI",,,1-3,1-3,M,,No,Yes
2/1/2026 21:42:00,dwhitmore@email.com,Whitmore,Donald,EFD7675AAF5B,916-555-5191,KY,Yes,"Austin, TX","Knoxville, TN",Futures,None,"Austin, TX",,,1-3,Never served,S,,Yes,Yes
2/1/2026 21:51:00,hfitzpatrick@email.com,Fitzpatrick,Helen,EFD7675AAF5C,512-555-5192,IA,Yes,"Greensboro, NC","Knoxville, TN",Futures,None,"Greensboro, NC",,,1-3,Served this year,,M,Yes,Yes
2/1/2026 21:57:00,aostrowski@email.com,Ostrowski,Alice,EFD7675AAF5D,865-555-5193,CT,Other,"Greensboro, NC","Knoxville, TN",Futures,None,"Greensboro, NC",,,4 or more,Never served,,M,No,Yes
2/1/2026 22:06:00,jyamamoto@email.com,Yamamoto,Joseph,EFD7675AAF5E,615-555-5194,TN,Yes,"Madison, WI","Austin, TX",Futures,None,"Madison, WI",,,1-3,Never served,XL,,Yes,Yes
