"Start Date/Time (mm/dd/yyyy)","End Date/Time (mm/dd/yyyy)","Location","Qty","Item","First Name","Last Name","Email","Sign Up Comment","Sign Up Timestamp","Phone","PhoneType",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Alvin","Wulfsberg","awulfsberg@fakemail.com","S&T/CJ/AO","01/03/2026 04:04:00 PM","850-555-0105","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Edna","Johannsen","ejohannsen@fakemail.com","S&T","01/03/2026 04:46:00 PM","919-555-0111","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Cecil","Haverstock","chaverstock@fakemail.com","S&T","01/03/2026 04:54:00 PM","919-555-0106","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Velma","Dziedzic","vdziedzic@fakemail.com","","01/04/2026 05:56:00 PM","703-555-0107","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Rupert","Makanjuola","rmakanjuola@fakemail.com","","01/04/2026 08:36:00 PM","919-555-0108","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Agnes","Stovall","astovall@fakemail.com","ST","01/07/2026 10:00:00 AM","919-555-0112","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Gladys","Petrakis","gpetrakis@fakemail.com","S&T","01/10/2026 08:08:00 AM","919-555-0110","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Mortimer","Vilalobos","mvilalobos@fakemail.com","","01/12/2026 09:35:00 PM","919-555-0113","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Laverne","Bogdanovic","lbogdanovic@fakemail.com","Stroke & Turn","01/13/2026 09:53:00 PM","919-555-0114","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","Chester","Toczydlowski","ctoczydlowski@fakemail.com","ST","01/14/2026 09:55:00 AM","910-555-0115","Mobile",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Certified officials","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 08:15 AM","01/17/2026 12:15 PM","Session 2","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","AO/AR","Harriet","Westergaard","hwestergaard@fakemail.com","","12/31/2025 09:23:00 AM","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","AO/AR","Norma","Przybyla","nprzybyla@fakemail.com","","01/08/2026 09:50:00 PM","","Mobile",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","Reginald","Flanagan","rflanagan@fakemail.com","CJ/S&T","12/31/2025 04:21:00 PM","229-555-0116","Mobile",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","Beatrice","Czerwinski","bczerwinski@fakemail.com","DR","01/03/2026 01:24:00 PM","813-555-0104","Mobile",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","Alvin","Wulfsberg","awulfsberg@fakemail.com","S&T/CJ/AO","01/03/2026 04:04:00 PM","850-555-0105","Mobile",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","Yvonne","Treadwell","ytreadwell@fakemail.com","S&T RSA","01/03/2026 08:41:00 PM","919-555-0117","Mobile",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","Eugene","Castronuovo","ecastronuovo@fakemail.com","S&T MOR","01/04/2026 01:31:00 PM","315-555-0118","Mobile",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","Velma","Dziedzic","vdziedzic@fakemail.com","","01/04/2026 05:56:00 PM","703-555-0107","Mobile",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","Mildred","Przywara","mprzywara@fakemail.com","S&T MOR","01/08/2026 01:48:00 PM","301-555-0119","Mobile",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","Gladys","Petrakis","gpetrakis@fakemail.com","S&T","01/10/2026 08:08:00 AM","919-555-0110","Mobile",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Certified officials","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 01:30 PM","01/17/2026 05:30 PM","Session 3","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","AO/AR","Harriet","Westergaard","hwestergaard@fakemail.com","","12/31/2025 09:23:00 AM","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","Dolores","Whitmore","dwhitmore@fakemail.com","ST, SR, CJ","12/31/2025 05:30:00 PM","919-555-0102","Mobile",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","Leonard","Okonkwo","lokonkwo@fakemail.com","","01/02/2026 08:49:00 AM","832-555-0103","Mobile",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","Beatrice","Czerwinski","bczerwinski@fakemail.com","DR","01/03/2026 01:24:00 PM","813-555-0104","Mobile",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","Alvin","Wulfsberg","awulfsberg@fakemail.com","S&T/CJ/AO","01/03/2026 04:04:00 PM","850-555-0105","Mobile",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","Edna","Johannsen","ejohannsen@fakemail.com","S&T","01/03/2026 04:46:00 PM","919-555-0111","Mobile",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","Cecil","Haverstock","chaverstock@fakemail.com","S&T","01/03/2026 04:54:00 PM","919-555-0106","Mobile",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","Velma","Dziedzic","vdziedzic@fakemail.com","","01/04/2026 05:56:00 PM","703-555-0107","Mobile",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Certified officials","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Stroke and Turn apprentices","","","","","","","",""
"01/17/2026 06:45 PM","01/17/2026 08:10 PM","Session 4","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","AO/AR","Beatrice","Czerwinski","bczerwinski@fakemail.com","","12/31/2025 09:21:00 AM","813-555-0104","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","AO/AR","Harriet","Westergaard","hwestergaard@fakemail.com","","12/31/2025 09:23:00 AM","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","AO/AR","Grace","Tillman","gtillman@fakemail.com","","12/31/2025 11:18:00 AM","919-555-0101","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Dolores","Whitmore","dwhitmore@fakemail.com","ST , SR , CJ","12/31/2025 05:30:00 PM","919-555-0102","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Leonard","Okonkwo","lokonkwo@fakemail.com","","01/02/2026 08:49:00 AM","832-555-0103","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Alvin","Wulfsberg","awulfsberg@fakemail.com","S&T/CJ/AO","01/03/2026 04:04:00 PM","850-555-0105","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Edna","Johannsen","ejohannsen@fakemail.com","S&T","01/03/2026 04:46:00 PM","919-555-0111","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Cecil","Haverstock","chaverstock@fakemail.com","S&T","01/03/2026 04:54:00 PM","919-555-0106","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Velma","Dziedzic","vdziedzic@fakemail.com","","01/04/2026 05:56:00 PM","703-555-0107","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Rupert","Makanjuola","rmakanjuola@fakemail.com","","01/04/2026 08:36:00 PM","919-555-0108","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Agnes","Stovall","astovall@fakemail.com","ST","01/07/2026 10:00:00 AM","919-555-0112","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Mortimer","Vilalobos","mvilalobos@fakemail.com","","01/12/2026 09:35:00 PM","919-555-0113","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Howard","Szymanski","hszymanski@fakemail.com","","01/13/2026 06:14:00 PM","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Laverne","Bogdanovic","lbogdanovic@fakemail.com","Stroke & Turm","01/13/2026 09:53:00 PM","919-555-0114","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","Chester","Toczydlowski","ctoczydlowski@fakemail.com","ST","01/14/2026 09:55:00 AM","910-555-0115","Mobile",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Certified officials","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 08:15 AM","01/18/2026 01:30 PM","Session 5","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","AO/AR","Harriet","Westergaard","hwestergaard@fakemail.com","","12/31/2025 09:23:00 AM","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","AO/AR","Norma","Przybyla","nprzybyla@fakemail.com","","01/08/2026 09:50:00 PM","","Mobile",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","Phyllis","Nkemdirim","pnkemdirim@fakemail.com","","12/31/2025 11:58:00 AM","443-555-0120","Mobile",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","Reginald","Flanagan","rflanagan@fakemail.com","CJ / S&T","12/31/2025 04:21:00 PM","229-555-0116","Mobile",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","Beatrice","Czerwinski","bczerwinski@fakemail.com","DR","01/03/2026 01:24:00 PM","813-555-0104","Mobile",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","Alvin","Wulfsberg","awulfsberg@fakemail.com","S&T/CJ/AO","01/03/2026 04:04:00 PM","850-555-0105","Mobile",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","Eugene","Castronuovo","ecastronuovo@fakemail.com","S&T MOR","01/04/2026 01:31:00 PM","315-555-0118","Mobile",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","Velma","Dziedzic","vdziedzic@fakemail.com","","01/04/2026 05:56:00 PM","703-555-0107","Mobile",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","Mildred","Przywara","mprzywara@fakemail.com","S&T MOR","01/08/2026 01:49:00 PM","301-555-0119","Mobile",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","Gladys","Petrakis","gpetrakis@fakemail.com","S&T","01/10/2026 08:08:00 AM","919-555-0110","Mobile",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","Howard","Szymanski","hszymanski@fakemail.com","","01/13/2026 06:14:00 PM","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","","","","","","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","","","","","","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","","","","","","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","","","","","","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","","","","","","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Certified officials","","","","","","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 02:30 PM","01/18/2026 06:00 PM","Session 6","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","AO/AR","Harriet","Westergaard","hwestergaard@fakemail.com","","12/31/2025 09:23:00 AM","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","Phyllis","Nkemdirim","pnkemdirim@fakemail.com","","12/31/2025 11:57:00 AM","443-555-0120","Mobile",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","Leonard","Okonkwo","lokonkwo@fakemail.com","","01/02/2026 08:49:00 AM","832-555-0103","Mobile",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","Beatrice","Czerwinski","bczerwinski@fakemail.com","DR","01/03/2026 01:24:00 PM","813-555-0104","Mobile",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","Edna","Johannsen","ejohannsen@fakemail.com","S&T","01/03/2026 04:46:00 PM","919-555-0111","Mobile",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","Cecil","Haverstock","chaverstock@fakemail.com","S&T","01/03/2026 04:54:00 PM","919-555-0106","Mobile",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","Velma","Dziedzic","vdziedzic@fakemail.com","","01/04/2026 05:56:00 PM","703-555-0107","Mobile",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Certified officials","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Stroke and Turn apprentices","","","","","","","",""
"01/18/2026 07:00 PM","01/18/2026 09:00 PM","Session 7","1","Stroke and Turn apprentices","","","","","","","",""
"* Sign Ups with no Time Zone"
