Timestamp,Email Address,LAST Name,FIRST Name,TEAM (or UNAT),USAS Member Number,Phone Number (XXX-XXX-XXXX),My APT and BGC are up to date,My Certifications [S&T],My Certifications [AO],My Certifications [CJ],My Certifications [SR],My Certifications [AR],My Certifications [DR],Declare Your Availability for Each Session [Thurs Finals],Declare Your Availability for Each Session [Fri Prelim],Declare Your Availability for Each Session [Fri (12U Session)],Declare Your Availability for Each Session [Fri Finals],Declare Your Availability for Each Session [Sat Prelim],Declare Your Availability for Each Session [Sat (12U Session)],Declare Your Availability for Each Session [Sat Finals],Declare Your Availability for Each Session [Sun (Prelim)],Declare Your Availability for Each Session [Sun (12U Session)],Declare Your Availability for Each Session [Sun Finals],I am interested officiating in...,I would like to be considered for the following assigned positions: [1st Choice],I would like to be considered for the following assigned positions: [2nd Choice],I would like to be considered for the following assigned positions: [3rd Choice],"Are you interested in being evaluated at this meet? (If ""NO"", skip to Section 3)",I would like to be evaluated for the following position(s). Some N3 level evaluation may not be available.,I understand that I must sign up for and complete at least 4 prelim/finals sessions to receive an evaluation.,I will have met all requirements to receive an evaluation at the requested position.,Shirts may be provided for officials at this meet. [Mens],Shirts may be provided for officials at this meet. [Womens],Optional Comment:,Thank you for signing up to officiate at this Championship Meet
5/23/2026 12:07:00,daniel.clark@example.com,Clark,Daniel,SAIL,5X4W7KYHQIN9N6,860-567-1992,They will be before start of meet,Apprentice,N3,LSC,N2,N3,Apprentice,I will Work,I will Work,I will Work,Not Available,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,Assigned Position - Complete next question,SR,AR,AO,YES,CJ - N2; SR - N2 (Re-cert ONLY),YES,Yes,,✓,,"OK, See you at the MEET"
5/23/2026 16:15:00,andrew.carter@example.com,Carter,Andrew,GOLD,CCPRHVLZ049ENU,526-447-8642,Yes,N2,LSC,N3,N3,N2,Apprentice,I will Work,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Assigned Position - Complete next question,CJ,AR,SR,NO,,,,,✓,First time at this venue.,"OK, See you at the MEET"
5/25/2026 16:22:00,kenneth.turner@example.com,Turner,Kenneth,NCAC,QTTY5Y2JR8KK79,989-495-4396,They will be before start of meet,N3,N3,N3,N2,N2,N2,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,DR,CJ,AO,NO,,,,✓,,May need to leave early Sunday.,"OK, See you at the MEET"
5/25/2026 18:20:00,joshua.perez@example.com,Perez,Joshua,WAVE,E9O2M71HSSBELR,667-352-9446,Yes,N2,Apprentice,N3,N2,N2,N3,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,DR,CJ,SR,NO,,,,✓,,Available to help with hospitality if needed.,"OK, See you at the MEET"
5/26/2026 13:10:00,linda.garcia@example.com,Garcia,Linda,RSA,YLJEXQ77AWUDTS,335-557-2127,Yes,N3,N3,N2,Apprentice,N3,N2,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,CJ,AO,DR,YES,CJ - N2; DR - N2,YES,Yes,✓,,May need to leave early Sunday.,"OK, See you at the MEET"
5/26/2026 13:24:00,mark.allen@example.com,Allen,Mark,STAR,XLRFCD6MZSGIPP,735-824-3600,They will be before start of meet,N2,N2,N2,N3,N3,LSC,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,S&T position only - Skip next question,,,,YES,S&T - N2; AO - N2,YES,Yes,,✓,,"OK, See you at the MEET"
5/27/2026 19:41:00,jennifer.brown@example.com,Brown,Jennifer,SwimMAC,58DRC11ERTJ5PH,752-973-4295,They will be before start of meet,N2,N3,N2,N2,LSC,None,I will Work,I will Work,I will Work,Not Available,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,S&T position only - Skip next question,,,,NO,,,,✓,,,"OK, See you at the MEET"
5/28/2026 14:42:00,matthew.robinson@example.com,Robinson,Matthew,WAVE,TQVDZ4X1ZHQIMQ,625-947-2557,They will be before start of meet,N2,Apprentice,N3,N2,LSC,LSC,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,S&T position only - Skip next question,,,,NO,,,,,✓,First time at this venue.,"OK, See you at the MEET"
5/28/2026 17:21:00,joseph.hernandez@example.com,Hernandez,Joseph,STAR,SGIOTIRZQAKOIX,577-684-9698,They will be before start of meet,N2,N2,N2,N2,N3,N2,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,Assigned Position - Complete next question,DR,AR,AO,YES,S&T - N3; AO - N2,YES,Yes,,✓,,"OK, See you at the MEET"
5/28/2026 18:17:00,jessica.thomas@example.com,Thomas,Jessica,NCAC,XCXAPRPN6QFGSX,830-751-8921,They will be before start of meet,N2,N2,N3,N2,N2,N3,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,DR,CJ,AO,YES,S&T - N2; AO - N2,YES,Yes,,✓,First time at this venue.,"OK, See you at the MEET"
5/29/2026 19:19:00,sandra.hall@example.com,Hall,Sandra,SAIL,1XG1R11Q7UWW5W,354-650-2118,They will be before start of meet,N3,N3,N2,LSC,N2,None,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,AR,AO,CJ,YES,S&T - N3; CJ - N3,YES,Yes,✓,,,"OK, See you at the MEET"
5/30/2026 13:32:00,charles.thompson@example.com,Thompson,Charles,RSA,JEK5RBW2ZLAOI4,316-672-2924,Yes,N3,N2,N2,N2,N2,LSC,I will Work,Not Available,Not Available,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,Not Available,S&T position only - Skip next question,,,,NO,,,,✓,,,"OK, See you at the MEET"
5/30/2026 15:27:00,betty.lewis@example.com,Lewis,Betty,NCAC,JEPECQNVQHW06X,508-669-1510,Yes,N3,N2,N3,LSC,LSC,N3,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,S&T position only - Skip next question,,,,NO,,,,,✓,Available to help with hospitality if needed.,"OK, See you at the MEET"
5/31/2026 10:55:00,robert.williams@example.com,Williams,Robert,TAC,VQJT7YE511MKFA,939-936-5315,Yes,N3,N3,N2,LSC,N2,LSC,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,CJ,AO,AR,YES,CJ - N2; SR - N2,YES,Yes,✓,,,"OK, See you at the MEET"
5/31/2026 14:01:00,ashley.king@example.com,King,Ashley,STAR,X7LXXEZDUXLEZ8,901-739-2531,They will be before start of meet,N2,N2,N2,N3,N2,N2,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Assigned Position - Complete next question,SR,DR,CJ,YES,S&T - N3; AO - N2,YES,Yes,✓,,Available to help with hospitality if needed.,"OK, See you at the MEET"
5/31/2026 19:28:00,karen.jackson@example.com,Jackson,Karen,NCMS,TPV60VAIY4VA13,790-241-3870,They will be before start of meet,N3,N2,N2,N3,N2,LSC,I will Work,I will Work,Not Available,I will Work,Not Available,I will Work,I will Work,I will Work,I will Work,I will Work,Assigned Position - Complete next question,CJ,AO,SR,YES,AO - N2; CJ - N2,YES,Yes,,✓,,"OK, See you at the MEET"
6/11/2026 10:28:00,michael.jones@example.com,Jones,Michael,WAVE,XMO5BXXC02DGTF,387-485-8579,Yes,N3,N3,LSC,N3,N2,None,I will Work,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,Assigned Position - Complete next question,SR,AR,AO,NO,,,,,✓,Looking forward to it!,"OK, See you at the MEET"
6/11/2026 12:55:00,james.smith@example.com,Smith,James,ECA,4V30T9NT3W5UZB,433-991-5741,Yes,LSC,N2,N3,N2,N2,N2,I will Work,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,S&T position only - Skip next question,,,,YES,S&T - N2; AO - N2,YES,Yes,,✓,Available to help with hospitality if needed.,"OK, See you at the MEET"
6/12/2026 19:41:00,christopher.lopez@example.com,Lopez,Christopher,STAR,UY0BVR6K2VMWWY,938-985-3240,Yes,LSC,N3,None,N2,LSC,N3,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,S&T position only - Skip next question,,,,YES,S&T - N2; AO - N3,YES,Yes,,✓,,"OK, See you at the MEET"
6/13/2026 13:41:00,nancy.harris@example.com,Harris,Nancy,TAC,ATQYYV37DIA5U6,426-863-2035,They will be before start of meet,N2,LSC,N3,N2,N2,LSC,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,AR,SR,CJ,NO,,,,,✓,,"OK, See you at the MEET"
6/13/2026 14:18:00,kevin.campbell@example.com,Campbell,Kevin,SwimMAC,T076G5G79OR787,238-209-5888,Yes,N3,N3,N2,N3,LSC,N2,I will Work,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,S&T position only - Skip next question,,,,YES,AO - N3; CJ - N3,YES,Yes,,✓,,"OK, See you at the MEET"
6/13/2026 16:44:00,donald.wright@example.com,Wright,Donald,MAC,8HQMABSI9NB74X,349-340-1627,They will be before start of meet,N3,N3,N2,N3,N3,None,I will Work,Not Available,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,I will Work,Assigned Position - Complete next question,CJ,AO,AR,NO,,,,,✓,,"OK, See you at the MEET"
6/4/2026 11:58:00,thomas.martin@example.com,Martin,Thomas,NCAC,TFOYQBKK4CIJ2V,402-635-2880,Yes,N2,LSC,LSC,N3,N2,N3,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,DR,SR,AR,NO,,,,,✓,Looking forward to it!,"OK, See you at the MEET"
6/4/2026 14:44:00,amanda.parker@example.com,Parker,Amanda,RSA,G463SDYGFLIJI1,537-509-1187,They will be before start of meet,N2,N3,N2,LSC,N3,N3,I will Work,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,I will Work,Not Available,I will Work,Assigned Position - Complete next question,AR,CJ,AO,YES,S&T - N2; CJ - N2,YES,Yes,✓,,Available to help with hospitality if needed.,"OK, See you at the MEET"
6/5/2026 19:25:00,steven.green@example.com,Green,Steven,WAVE,9GKDLKQZFPQ06W,645-481-1939,Yes,N2,N3,N3,Apprentice,LSC,N3,I will Work,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Assigned Position - Complete next question,CJ,DR,AO,NO,,,,,✓,May need to leave early Sunday.,"OK, See you at the MEET"
6/7/2026 10:27:00,lisa.white@example.com,White,Lisa,BWST,2JWOCLYT8W5RTW,440-846-5708,Yes,Apprentice,N3,N3,LSC,LSC,N2,I will Work,Not Available,Not Available,I will Work,I will Work,Not Available,I will Work,Not Available,Not Available,Not Available,S&T position only - Skip next question,,,,YES,CJ - N3; SR - N2,YES,Yes,,✓,Looking forward to it!,"OK, See you at the MEET"
6/7/2026 13:32:00,barbara.davis@example.com,Davis,Barbara,WAVE,9E6GBPS3Y70HP8,538-838-6143,Yes,N2,N2,N2,N2,LSC,N2,I will Work,I will Work,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Assigned Position - Complete next question,DR,AO,SR,NO,,,,,✓,,"OK, See you at the MEET"
6/7/2026 14:48:00,donna.mitchell@example.com,Mitchell,Donna,GOLD,RLA8S8HMBR5XQT,310-641-3194,They will be before start of meet,N2,None,LSC,N2,N2,N2,I will Work,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,S&T position only - Skip next question,,,,NO,,,,,✓,,"OK, See you at the MEET"
6/8/2026 09:15:00,richard.taylor@example.com,Taylor,Richard,NCAC,EQBNHL1N13JCAT,558-429-2124,Yes,N2,None,LSC,LSC,N3,N2,I will Work,I will Work,Not Available,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,I will Work,Assigned Position - Complete next question,AR,DR,,YES,S&T - N3; CJ - N2,YES,Yes,,✓,First time at this venue.,"OK, See you at the MEET"
6/8/2026 13:45:00,kimberly.baker@example.com,Baker,Kimberly,TAC,8BFQNPCENLK8AG,730-596-2929,They will be before start of meet,N3,Apprentice,N2,N3,N2,LSC,I will Work,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Assigned Position - Complete next question,AR,CJ,SR,YES,CJ - N2; AR - N3,YES,Yes,,✓,,"OK, See you at the MEET"
6/8/2026 15:14:00,david.wilson@example.com,Wilson,David,SwimMAC,YIHAIR4COWGZRI,871-904-1090,Yes,N2,Apprentice,N2,LSC,N2,N3,I will Work,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,Not Available,I will Work,Not Available,S&T position only - Skip next question,,,,YES,S&T - N3; CJ - N3,YES,Yes,,✓,First time at this venue.,"OK, See you at the MEET"
6/8/2026 17:24:00,sarah.moore@example.com,Moore,Sarah,BWST,PGB7R3OCWBFUK9,321-771-7818,Yes,N3,N2,N3,Apprentice,N2,N3,Not Available,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,I will Work,Not Available,I will Work,Assigned Position - Complete next question,CJ,AR,DR,NO,,,,✓,,,"OK, See you at the MEET"
